Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster,Actors_id,Director_id
When Harry Met Sally...,"Comedy, Drama, Romance","['Billy Crystal', 'Meg Ryan', 'Carrie Fisher', 'Bruno Kirby']",['Rob Reiner'],Nora Ephron,English,92823600,USA,21 Jul 1989,96 min,7.6,Nominated for 1 Oscar. Another 4 wins & 15 nominations.,tt0098635.jpg,"[12759, 14014, 6094, 9602]",[1811]
The War of the Roses,"Comedy, Romance","['Michael Douglas', 'Kathleen Turner', 'Danny DeVito', 'Marianne Sägebrecht']",['Danny DeVito'],"Warren Adler (novel), Michael Leeson (screenplay)",English,83699711,USA,08 Dec 1989,116 min,6.8,Nominated for 3 Golden Globes. Another 2 wins & 6 nominations.,tt0098621.jpg,"[11691, 4508, 9798, 8385]",[2619]
Steel Magnolias,"Comedy, Drama, Romance","['Sally Field', 'Dolly Parton', 'Shirley MacLaine', 'Daryl Hannah']",['Herbert Ross'],"Robert Harling (screenplay), Robert Harling (play)",English,83759091,USA,22 Nov 1989,117 min,7.2,Nominated for 1 Oscar. Another 2 wins & 6 nominations.,tt0098384.jpg,"[3903, 12113, 2088, 5954]",[2852]
National Lampoon's Christmas Vacation,Comedy,"['Chevy Chase', ""Beverly D'Angelo"", 'Juliette Lewis', 'Johnny Galecki']",['Jeremiah S. Chechik'],John Hughes,English,71320000,USA,01 Dec 1989,97 min,7.6,,tt0097958.jpg,"[709, 14095, 7134, 1557]",[4638]
Turner & Hooch,"Comedy, Crime, Drama","['Tom Hanks', 'Mare Winningham', 'Craig T. Nelson', 'Reginald VelJohnson']",['Roger Spottiswoode'],"Dennis Shryack (story), Michael Blodgett (story), Dennis Shryack (screenplay), Michael Blodgett (screenplay), Daniel Petrie Jr. (screenplay), Jim Cash (screenplay), Jack Epps Jr. (screenplay)",English,71079915,USA,28 Jul 1989,97 min,6.0,1 win & 1 nomination.,tt0098536.jpg,"[9548, 15004, 14227, 1991]",[1959]
Born on the Fourth of July,"Biography, Drama, War","['Tom Cruise', 'Raymond J. Barry', 'Caroline Kava', 'Josh Evans']",['Oliver Stone'],"Ron Kovic (book), Oliver Stone (screenplay), Ron Kovic (screenplay)","English, Spanish",70001698,USA,05 Jan 1990,145 min,7.2,Won 2 Oscars. Another 13 wins & 23 nominations.,tt0096969.jpg,"[9466, 6620, 15002, 174]",[844]
Uncle Buck,Comedy,"['John Candy', 'Jean Louisa Kelly', 'Gaby Hoffmann', 'Macaulay Culkin']",['John Hughes'],John Hughes,English,66758538,USA,16 Aug 1989,100 min,6.9,,tt0098554.jpg,"[2941, 781, 8449, 1182]",[4219]
Field of Dreams,"Drama, Family, Fantasy","['Kevin Costner', 'Amy Madigan', 'Gaby Hoffmann', 'Ray Liotta']",['Phil Alden Robinson'],"W.P. Kinsella (book), Phil Alden Robinson (screenplay)",English,64431625,USA,05 May 1989,107 min,7.6,Nominated for 3 Oscars. Another 6 wins & 10 nominations.,tt0097351.jpg,"[14349, 986, 8449, 2238]",[4670]
Tango & Cash,"Action, Comedy, Crime","['Sylvester Stallone', 'Kurt Russell', 'Teri Hatcher', 'Jack Palance']","['Andrey Konchalovskiy', 'Albert Magnoli']",Randy Feldman,English,63408614,USA,22 Dec 1989,104 min,6.3,3 nominations.,tt0098439.jpg,"[10200, 10691, 2191, 3489]","[940, 4132]"
Harlem Nights,"Comedy, Crime, Drama","['Eddie Murphy', 'Richard Pryor', 'Redd Foxx', 'Danny Aiello']",['Eddie Murphy'],Eddie Murphy,English,60864870,USA,17 Nov 1989,116 min,5.9,Nominated for 1 Oscar. Another 2 wins & 1 nomination.,tt0097481.jpg,"[14631, 15259, 8082, 2125]",[3809]
Sea of Love,"Crime, Drama, Mystery","['Al Pacino', 'Ellen Barkin', 'John Goodman', 'Michael Rooker']",['Harold Becker'],Richard Price,English,58571513,USA,15 Sep 1989,113 min,6.8,Nominated for 1 Golden Globe. Another 3 nominations.,tt0098273.jpg,"[1209, 9227, 8366, 9421]",[570]
The Abyss,"Adventure, Drama, Sci-Fi","['Ed Harris', 'Mary Elizabeth Mastrantonio', 'Michael Biehn', 'Leo Burmester']",['James Cameron'],James Cameron,English,54222000,USA,09 Aug 1989,145 min,7.6,Won 1 Oscar. Another 4 wins & 13 nominations.,tt0096754.jpg,"[12188, 9780, 6577, 12329]",[1133]
Major League,"Comedy, Sport","['Tom Berenger', 'Charlie Sheen', 'Corbin Bernsen', 'Margaret Whitton']",['David S. Ward'],David S. Ward,"English, Spanish, Japanese",49797148,USA,07 Apr 1989,107 min,7.2,1 nomination.,tt0097815.jpg,"[3233, 10936, 9134, 8639]",[2716]
"See No Evil, Hear No Evil","Comedy, Crime","['Richard Pryor', 'Gene Wilder', 'Joan Severance', 'Kevin Spacey']",['Arthur Hiller'],"Earl Barret (story), Arne Sultan (story), Marvin Worth (story), Earl Barret (screenplay), Arne Sultan (screenplay), Eliot Wald (screenplay), Andrew Kurtzman (screenplay), Gene Wilder (screenplay)",English,46908987,USA,12 May 1989,103 min,6.8,,tt0098282.jpg,"[15259, 1717, 14044, 6368]",[104]
Black Rain,"Action, Crime, Thriller","['Michael Douglas', 'Andy Garcia', 'Ken Takakura', 'Kate Capshaw']",['Ridley Scott'],"Craig Bolotin, Warren Lewis","English, Japanese",45645204,USA,22 Sep 1989,125 min,6.6,Nominated for 2 Oscars. Another 1 win & 1 nomination.,tt0096933.jpg,"[11691, 6053, 13150, 12819]",[1757]
Always,"Drama, Fantasy, Romance","['Richard Dreyfuss', 'Holly Hunter', 'Brad Johnson', 'John Goodman']",['Steven Spielberg'],"Jerry Belson (screenplay), Dalton Trumbo (screenplay), Frederick Hazlitt Brennan (screenplay), Chandler Sprague (story), David Boehm (story)",English,43858790,USA,22 Dec 1989,122 min,6.4,2 nominations.,tt0096794.jpg,"[11046, 8666, 9657, 8366]",[787]
K-9,"Action, Comedy, Crime","['James Belushi', 'Mel Harris', 'Kevin Tighe', ""Ed O'Neill""]",['Rod Daniel'],"Steven Siegel, Scott Myers",English,43247647,USA,28 Apr 1989,101 min,5.9,,tt0097637.jpg,"[11936, 2285, 6791, 13367]",[3223]
Three Fugitives,"Action, Comedy","['Nick Nolte', 'Martin Short', 'Sarah Rowland Doroff', 'James Earl Jones']",['Francis Veber'],Francis Veber,English,40590000,USA,27 Jan 1989,96 min,6.0,1 nomination.,tt0098471.jpg,"[861, 7373, 4468, 1178]",[356]
Bill & Ted's Excellent Adventure,"Adventure, Comedy, Music","['Keanu Reeves', 'Alex Winter', 'George Carlin', 'Terry Camilleri']",['Stephen Herek'],"Chris Matheson, Ed Solomon","English, French, German, Greek,  Ancient (to 1453)",40485039,USA,17 Feb 1989,90 min,6.9,3 nominations.,tt0096928.jpg,"[7796, 1764, 13144, 1398]",[3612]
"The Karate Kid, Part III","Action, Drama, Family","['Ralph Macchio', 'Pat Morita', 'Robyn Lively', 'Thomas Ian Griffith']",['John G. Avildsen'],"Robert Mark Kamen (characters), Robert Mark Kamen",English,38956288,USA,30 Jun 1989,112 min,4.9,5 nominations.,tt0097647.jpg,"[355, 2093, 7702, 1163]",[2462]
The 'Burbs,"Comedy, Mystery, Thriller","['Tom Hanks', 'Bruce Dern', 'Carrie Fisher', 'Rick Ducommun']",['Joe Dante'],Dana Olsen,English,36602000,USA,17 Feb 1989,101 min,6.8,1 nomination.,tt0096734.jpg,"[9548, 8043, 6094, 6294]",[1625]
Fletch Lives,"Comedy, Mystery, Crime","['Chevy Chase', 'Hal Holbrook', 'Julianne Phillips', 'R. Lee Ermey']",['Michael Ritchie'],"Gregory McDonald (character), Leon Capetanos",English,35150960,USA,17 Mar 1989,95 min,6.0,,tt0097366.jpg,"[709, 3822, 199, 15393]",[354]
Lean on Me,Drama,"['Morgan Freeman', 'Beverly Todd', 'Robert Guillaume', 'Alan North']",['John G. Avildsen'],Michael Schiffer,"English, Spanish, Portuguese",31906454,USA,03 Mar 1989,108 min,7.4,3 wins & 4 nominations.,tt0097722.jpg,"[9778, 10424, 1667, 7564]",[2462]
Weekend at Bernie's,Comedy,"['Andrew McCarthy', 'Jonathan Silverman', 'Catherine Mary Stewart', 'Terry Kiser']",['Ted Kotcheff'],Robert Klane,English,30218387,USA,05 Jul 1989,97 min,6.3,1 nomination.,tt0098627.jpg,"[5425, 12301, 6824, 6516]",[1476]
Road House,"Action, Thriller","['Patrick Swayze', 'Kelly Lynch', 'Sam Elliott', 'Ben Gazzara']",['Rowdy Herrington'],"R. Lance Hill (story), R. Lance Hill (screenplay), Hilary Henkin (screenplay)","English, Portuguese",30050028,USA,19 May 1989,114 min,6.4,5 nominations.,tt0098206.jpg,"[4647, 1962, 4765, 7633]",[351]
The Dream Team,Comedy,"['Michael Keaton', 'Christopher Lloyd', 'Peter Boyle', 'Stephen Furst']",['Howard Zieff'],"Jon Connolly, David Loucka",English,28890240,USA,07 Apr 1989,113 min,6.5,,tt0097235.jpg,"[85, 11204, 13586, 14549]",[1586]
Do the Right Thing,Drama,"['Danny Aiello', 'Ossie Davis', 'Ruby Dee', 'Richard Edson']",['Spike Lee'],Spike Lee,"English, Italian, Spanish",27545445,USA,21 Jul 1989,120 min,7.9,Nominated for 2 Oscars. Another 15 wins & 11 nominations.,tt0097216.jpg,"[2125, 6213, 12653, 18]",[22]
All Dogs Go to Heaven,"Animation, Comedy, Drama","['Burt Reynolds', 'Dom DeLuise', 'Judith Barsi', 'Melba Moore']","['Don Bluth', 'Gary Goldman', 'Dan Kuenster']","Don Bluth (story), Ken Cromar (story), Gary Goldman (story), Larry Leker (story), Linda Miller (story), Monica Parker (story), John Pomeroy (story), Guy Shulman (story), David J. Steinberg (story), David N. Weiss (story), David N. Weiss (screenplay)",English,27100027,"Ireland, UK, USA",17 Nov 1989,84 min,6.7,1 nomination.,tt0096787.jpg,"[13707, 14900, 12063, 8645]","[2441, 761, 266]"
Glory,"Drama, History, War","['Matthew Broderick', 'Denzel Washington', 'Cary Elwes', 'Morgan Freeman']",['Edward Zwick'],"Kevin Jarre (screenplay), Lincoln Kirstein (book), Peter Burchard (book), Robert Gould Shaw (letters)",English,26830000,USA,16 Feb 1990,122 min,7.9,Won 3 Oscars. Another 11 wins & 16 nominations.,tt0097441.jpg,"[10572, 5414, 8099, 9778]",[4635]
"Sex, Lies, and Videotape",Drama,"['James Spader', 'Andie MacDowell', 'Peter Gallagher', 'Laura San Giacomo']",['Steven Soderbergh'],Steven Soderbergh,English,24741700,USA,22 Sep 1989,100 min,7.2,Nominated for 1 Oscar. Another 14 wins & 20 nominations.,tt0098724.jpg,"[8817, 12209, 2019, 13676]",[1016]
Dad,"Drama, Comedy","['Jack Lemmon', 'Ted Danson', 'Olympia Dukakis', 'Kathy Baker']",['Gary David Goldberg'],"William Wharton (novel), Gary David Goldberg (screenplay)",English,19738015,USA,10 Nov 1989,117 min,6.1,Nominated for 1 Oscar. Another 1 win & 4 nominations.,tt0097142.jpg,"[5886, 2185, 4844, 5560]",[1112]
Lock Up,"Action, Crime, Drama","['Sylvester Stallone', 'Donald Sutherland', 'John Amos', 'Sonny Landham']",['John Flynn'],"Richard Smith, Jeb Stuart, Henry Rosenbaum",English,22099847,USA,04 Aug 1989,109 min,6.3,3 nominations.,tt0097770.jpg,"[10200, 15198, 9986, 15080]",[53]
Cousins,"Comedy, Romance","['Ted Danson', 'Isabella Rossellini', 'Sean Young', 'William Petersen']",['Joel Schumacher'],Jean-Charles Tacchella (based on the film \,English,22030000,USA,10 Feb 1989,109 min,6.2,,tt0097116.jpg,"[2185, 12160, 7247, 3335]",[578]
Say Anything...,"Comedy, Drama, Romance","['John Cusack', 'Ione Skye', 'John Mahoney', 'Lili Taylor']",['Cameron Crowe'],Cameron Crowe,English,20781385,USA,14 Apr 1989,100 min,7.4,1 win & 2 nominations.,tt0098258.jpg,"[7752, 14901, 15442, 12642]",[1195]
An Innocent Man,"Action, Crime, Drama","['Tom Selleck', 'F. Murray Abraham', 'Laila Robins', 'David Rasche']",['Peter Yates'],Larry Brothers,English,20047604,USA,06 Oct 1989,113 min,6.4,,tt0097579.jpg,"[6966, 9719, 3555, 2310]",[4143]
Skin Deep,"Comedy, Drama, Romance","['John Ritter', 'Vincent Gardenia', 'Alyson Reed', 'Joel Brooks']",['Blake Edwards'],Blake Edwards,English,19674852,USA,10 Mar 1989,97 min,6.1,,tt0098343.jpg,"[2737, 4795, 2106, 2904]",[3418]
Blaze,"Biography, Drama","['Paul Newman', 'Lolita Davidovich', 'Jerry Hardin', 'Gailard Sartain']",['Ron Shelton'],"Blaze Starr (book), Huey Perry (book), Ron Shelton (screenplay)",English,19131246,USA,13 Dec 1989,120 min,5.9,Nominated for 1 Oscar. Another 1 win & 2 nominations.,tt0096943.jpg,"[11378, 5179, 5170, 525]",[3951]
Her Alibi,"Comedy, Crime, Mystery","['Tom Selleck', 'Paulina Porizkova', 'William Daniels', 'James Farentino']",['Bruce Beresford'],Charlie Peters,"English, Romanian, Spanish",18699037,USA,03 Feb 1989,94 min,5.7,1 nomination.,tt0097500.jpg,"[6966, 13860, 8862, 2356]",[303]
Casualties of War,"Crime, Drama, War","['Michael J. Fox', 'Sean Penn', 'Don Harvey', 'John C. Reilly']",['Brian De Palma'],"Daniel Lang (book), David Rabe (screenplay)","English, Vietnamese",18671317,USA,18 Aug 1989,113 min,7.1,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,tt0097027.jpg,"[13667, 10227, 2210, 1619]",[439]
The Fabulous Baker Boys,"Drama, Music, Romance","['Jeff Bridges', 'Michelle Pfeiffer', 'Beau Bridges', 'Ellie Raab']",['Steve Kloves'],Steve Kloves,English,16823529,USA,13 Oct 1989,114 min,6.8,Nominated for 4 Oscars. Another 14 wins & 11 nominations.,tt0097322.jpg,"[9039, 1889, 2680, 12146]",[2388]
Crimes and Misdemeanors,"Comedy, Drama","['Bill Bernstein', 'Martin Landau', 'Claire Bloom', 'Stephanie Roth Haberle']",['Woody Allen'],Woody Allen,"English, Hebrew",18254702,USA,03 Nov 1989,104 min,8.0,Nominated for 3 Oscars. Another 13 wins & 19 nominations.,tt0097123.jpg,"[809, 7653, 1918, 9098]",[2871]
Shocker,"Comedy, Horror, Thriller","['Mitch Pileggi', 'John Tesh', 'Heather Langenkamp', 'Peter Berg']",['Wes Craven'],Wes Craven,English,16554699,USA,27 Oct 1989,109 min,5.4,1 nomination.,tt0098320.jpg,"[8997, 7998, 10647, 11249]",[4206]
Chances Are,"Comedy, Fantasy, Romance","['Cybill Shepherd', 'Robert Downey Jr.', ""Ryan O'Neal"", 'Mary Stuart Masterson']",['Emile Ardolino'],"Perry Howze, Randy Howze",English,16278590,USA,10 Mar 1989,108 min,6.4,Nominated for 1 Oscar. Another 1 win & 1 nomination.,tt0097044.jpg,"[11388, 12997, 5940, 2665]",[4388]
Next of Kin,"Action, Crime, Thriller","['Patrick Swayze', 'Liam Neeson', 'Adam Baldwin', 'Helen Hunt']",['John Irvin'],Michael Jenning,English,15942628,USA,20 Oct 1989,108 min,5.7,1 nomination.,tt0097967.jpg,"[4647, 9820, 11254, 9351]",[4345]
Leviathan,"Adventure, Horror, Mystery","['Peter Weller', 'Richard Crenna', 'Amanda Pays', 'Daniel Stern']",['George P. Cosmatos'],"David Webb Peoples (story), David Webb Peoples (screenplay), Jeb Stuart (screenplay)",English,15704614,"USA, Italy",17 Mar 1989,98 min,5.7,1 win.,tt0097737.jpg,"[1949, 7100, 10898, 1922]",[314]
She-Devil,Comedy,"['Meryl Streep', 'Roseanne Barr', 'Ed Begley Jr.', 'Linda Hunt']",['Susan Seidelman'],"Fay Weldon (novel), Barry Strugatz (screenplay), Mark R. Burns (screenplay)","English, French",15351421,USA,08 Dec 1989,99 min,5.4,,tt0098309.jpg,"[13255, 531, 4407, 348]",[3186]
My Left Foot,"Biography, Drama","['Daniel Day-Lewis', 'Brenda Fricker', 'Alison Whelan', 'Kirsten Sheridan']",['Jim Sheridan'],"Shane Connaughton (screenplay), Jim Sheridan (screenplay), Christy Brown (book)",English,14743391,"Ireland, UK",30 Mar 1990,103 min,7.9,Won 2 Oscars. Another 20 wins & 19 nominations.,tt0097937.jpg,"[2386, 3420, 11214, 6161]",[2501]
Kickboxer,"Action, Sport","['Jean-Claude Van Damme', 'Dennis Alexio', 'Dennis Chan', 'Michel Qissi']","['Mark DiSalle', 'David Worth']","Mark DiSalle (story), Glenn A. Bruce (screenplay), Jean-Claude Van Damme (story)",English,14697005,USA,08 Sep 1989,97 min,6.3,,tt0097659.jpg,"[11672, 10057, 13572, 6625]","[3203, 2417]"
Great Balls of Fire!,"Biography, Drama, Music","['Dennis Quaid', 'Winona Ryder', 'John Doe', 'Stephen Tobolowsky']",['Jim McBride'],"Myra Lewis (book), Murray Silver Jr. (book), Jack Baran (screenplay), Jim McBride (screenplay)",English,13741060,USA,30 Jun 1989,108 min,6.2,1 win & 1 nomination.,tt0097457.jpg,"[12575, 1530, 697, 5194]",[396]
Family Business,"Comedy, Crime, Drama","['Sean Connery', 'Dustin Hoffman', 'Matthew Broderick', 'Rosanna DeSoto']",['Sidney Lumet'],"Vincent Patrick (novel), Vincent Patrick (screenplay)",English,12195695,USA,15 Dec 1989,110 min,5.6,,tt0097328.jpg,"[6373, 2360, 10572, 7980]",[2343]
Pink Cadillac,"Action, Comedy, Crime","['Clint Eastwood', 'Bernadette Peters', 'Timothy Carhart', 'Tiffany Gail Robinson']",['Buddy Van Horn'],John Eskow,English,12143484,USA,26 May 1989,122 min,5.2,,tt0098097.jpg,"[5640, 13972, 12310, 6969]",[99]
Gross Anatomy,Drama,"['Matthew Modine', 'Daphne Zuniga', 'Christine Lahti', 'Todd Field']",['Thom Eberhardt'],"Mark Spragg (story), Howard Rosenman (story), Alan Jay Glueckman (story), Stanley Isaacs (story), Ron Nyswaner (screenplay), Mark Spragg (screenplay)",English,11604598,USA,20 Oct 1989,109 min,6.1,,tt0097458.jpg,"[12403, 5424, 7943, 14076]",[4449]
Who's Harry Crumb?,"Comedy, Crime, Mystery","['John Candy', 'Jeffrey Jones', 'Annie Potts', 'Tim Thomerson']",['Paul Flaherty'],"Robert Conte, Peter Wortmann",English,10982364,"USA, Canada",03 Feb 1989,94 min,5.8,,tt0098645.jpg,"[2941, 4505, 10068, 7594]",[3052]
New York Stories,"Comedy, Drama, Romance","['Woody Allen', 'Marvin Chatinover', 'Mae Questel', 'Mia Farrow']","['Woody Allen', 'Francis Ford Coppola', 'Martin Scorsese']","Richard Price, Woody Allen, Francis Ford Coppola, Sofia Coppola",English,10763469,USA,10 Mar 1989,124 min,6.4,1 win.,tt0097965.jpg,"[9996, 671, 4736, 8045]","[2871, 1758, 1029]"
The Package,"Action, Crime, Drama","['Gene Hackman', 'Joanna Cassidy', 'Tommy Lee Jones', 'John Heard']",['Andrew Davis'],John Bishop,English,10647219,USA,25 Aug 1989,108 min,6.4,,tt0098051.jpg,"[1604, 251, 1369, 2869]",[3770]
We're No Angels,"Comedy, Crime","['Robert De Niro', 'Sean Penn', 'Demi Moore', 'Hoyt Axton']",['Neil Jordan'],"David Mamet, Ranald MacDougall (earlier screenplay), Albert Husson (play), Sam Spewack (play), Bella Spewack (play)","English, French, Latin",10555348,USA,15 Dec 1989,106 min,6.0,,tt0098625.jpg,"[9311, 10227, 828, 2381]",[3315]
Cyborg,"Action, Sci-Fi, Thriller","['Jean-Claude Van Damme', 'Deborah Richter', 'Vincent Klyn', 'Alex Daniels']",['Albert Pyun'],Albert Pyun,English,10166459,USA,07 Apr 1989,86 min,5.0,,tt0097138.jpg,"[11672, 14254, 10880, 8791]",[3504]
Henry V,"Action, Biography, Drama","['Derek Jacobi', 'Kenneth Branagh', 'Simon Shepherd', 'James Larkin']",['Kenneth Branagh'],"William Shakespeare (by), Kenneth Branagh (adapted for the screen by)","English, French",10161099,UK,08 Nov 1989,137 min,7.7,Won 1 Oscar. Another 9 wins & 13 nominations.,tt0097499.jpg,"[5504, 5846, 10314, 12311]",[2486]
Tap,"Comedy, Drama, Music","['Gregory Hines', 'Sammy Davis Jr.', 'Suzzanne Douglas', 'Savion Glover']",['Nick Castle'],Nick Castle,English,9114702,USA,10 Feb 1989,111 min,6.5,,tt0098442.jpg,"[3683, 14308, 15256, 182]",[3543]
Renegades,"Action, Crime, Drama","['Kiefer Sutherland', 'Lou Diamond Phillips', 'Jami Gertz', 'Robert Knepper']",['Jack Sholder'],David Rich,English,9015164,USA,02 Jun 1989,106 min,5.3,1 win & 1 nomination.,tt0098188.jpg,"[2801, 4099, 545, 5479]",[1441]
Scandal,"Drama, History","['John Hurt', 'Joanne Whalley', 'Bridget Fonda', 'Ian McKellen']",['Michael Caton-Jones'],Michael Thomas,English,8800000,UK,28 Apr 1989,106 min,6.5,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,tt0098260.jpg,"[5782, 3629, 9632, 12492]",[4550]
True Believer,"Drama, Crime","['James Woods', 'Robert Downey Jr.', 'Margaret Colin', 'Yuji Okumoto']",['Joseph Ruben'],Wesley Strick,English,8742750,USA,17 Feb 1989,108 min,6.7,1 win & 1 nomination.,tt0098524.jpg,"[8970, 12997, 2253, 5543]",[1152]
Troop Beverly Hills,"Adventure, Comedy","['Shelley Long', 'Craig T. Nelson', 'Betty Thomas', 'Mary Gross']",['Jeff Kanew'],"Ava Ostern Fries (story), Pamela Norris (screenplay), Margaret Oberman (screenplay)",English,8508843,USA,24 Mar 1989,105 min,5.4,,tt0098519.jpg,"[953, 14227, 1156, 8344]",[3026]
Dead Bang,"Action, Crime, Drama","['Don Johnson', 'Penelope Ann Miller', 'William Forsythe', 'Bob Balaban']",['John Frankenheimer'],"Robert Foster (screenplay), Jerry Beck (story)",English,8125592,USA,24 Mar 1989,102 min,6.1,,tt0097166.jpg,"[12965, 3859, 13892, 1493]",[4585]
Dead Calm,Thriller,"['Nicole Kidman', 'Sam Neill', 'Billy Zane', 'Rod Mullinar']",['Phillip Noyce'],"Terry Hayes (screenplay), Charles Williams (novel)",English,7825009,Australia,07 Apr 1989,96 min,6.8,5 wins & 6 nominations.,tt0097162.jpg,"[9238, 5797, 5597, 5596]",[457]
Enemies: A Love Story,"Comedy, Drama, Romance","['Ron Silver', 'Anjelica Huston', 'Lena Olin', 'Malgorzata Zajaczkowska']",['Paul Mazursky'],"Isaac Bashevis Singer (novel), Roger L. Simon (screenplay), Paul Mazursky (screenplay)",English,7754571,"USA, Canada",13 Dec 1989,119 min,6.8,Nominated for 3 Oscars. Another 4 wins & 6 nominations.,tt0097276.jpg,"[3991, 7553, 4435, 14280]",[1940]
Johnny Handsome,"Crime, Drama, Thriller","['Mickey Rourke', 'Ellen Barkin', 'Elizabeth McGovern', 'Morgan Freeman']",['Walter Hill'],"John Godey (novel), Ken Friedman (screenplay)",English,7237794,USA,29 Sep 1989,94 min,6.1,3 nominations.,tt0097626.jpg,"[1130, 9227, 14019, 9778]",[3926]
Relentless,"Crime, Thriller","['Judd Nelson', 'Robert Loggia', 'Leo Rossi', 'Meg Foster']",['William Lustig'],Phil Alden Robinson,English,6985999,USA,30 Aug 1989,92 min,5.9,,tt0098184.jpg,"[645, 7673, 5878, 2864]",[1130]
Music Box,"Crime, Drama, Thriller","['Jessica Lange', 'Armin Mueller-Stahl', 'Frederic Forrest', 'Donald Moffat']",['Costa-Gavras'],Joe Eszterhas,"English, Hungarian",6263883,USA,19 Jan 1990,124 min,7.3,Nominated for 1 Oscar. Another 1 win & 2 nominations.,tt0100211.jpg,"[8106, 750, 5319, 6813]",[1821]
Immediate Family,Drama,"['Glenn Close', 'James Woods', 'Mary Stuart Masterson', 'Kevin Dillon']",['Jonathan Kaplan'],Barbara Benedek,English,5932613,"USA, Canada",27 Oct 1989,95 min,6.1,1 win & 2 nominations.,tt0097567.jpg,"[8676, 8970, 2665, 7993]",[51]
Millennium,"Drama, Mystery, Sci-Fi","['Kris Kristofferson', 'Cheryl Ladd', 'Daniel J. Travanti', 'Robert Joy']",['Michael Anderson'],John Varley (short story \,English,5777099,"USA, Canada",25 Aug 1989,108 min,5.7,1 win & 5 nominations.,tt0097883.jpg,"[6381, 9187, 9613, 7181]",[1189]
Dream a Little Dream,"Comedy, Drama, Romance","['Jason Robards', 'Corey Feldman', 'Piper Laurie', 'Meredith Salenger']",['Marc Rocco'],"Daniel Jay Franklin (story), Daniel Jay Franklin (screenplay), Marc Rocco (screenplay), D.E. Eisenberg (screenplay)",English,5552441,USA,03 Mar 1989,114 min,5.9,,tt0097236.jpg,"[11824, 8244, 7055, 12144]",[3506]
Let It Ride,"Comedy, Action","['Richard Dreyfuss', 'David Johansen', 'Teri Garr', 'Jennifer Tilly']",['Joe Pytka'],"Jay Cronley (book), Nancy Dowd (screenplay)",English,4973285,USA,18 Aug 1989,90 min,6.9,,tt0097731.jpg,"[11046, 994, 4666, 1988]",[2854]
See You in the Morning,"Drama, Romance","['Jeff Bridges', 'Alice Krige', 'Farrah Fawcett', 'Drew Barrymore']",['Alan J. Pakula'],Alan J. Pakula,English,4795009,USA,21 Apr 1989,119 min,5.8,,tt0098283.jpg,"[9039, 12955, 14753, 13513]",[2885]
Drugstore Cowboy,"Crime, Drama","['Matt Dillon', 'Kelly Lynch', 'James Le Gros', 'Heather Graham']",['Gus Van Sant'],"James Fogle (novel), Gus Van Sant (screenplay), Daniel Yost (screenplay)",English,4729352,USA,20 Oct 1989,102 min,7.4,11 wins & 7 nominations.,tt0097240.jpg,"[12873, 1962, 14830, 10831]",[92]
The January Man,"Action, Crime, Mystery","['Kevin Kline', 'Susan Sarandon', 'Mary Elizabeth Mastrantonio', 'Harvey Keitel']","[""Pat O'Connor""]",John Patrick Shanley,English,4611062,USA,13 Jan 1989,97 min,5.5,,tt0097613.jpg,"[1525, 11673, 9780, 8163]",[2075]
The Mighty Quinn,"Action, Crime, Drama","['Denzel Washington', 'James Fox', 'Mimi Rogers', 'M. Emmet Walsh']",['Carl Schenkel'],"A.H.Z. Carr (novel), Hampton Fancher (screenplay)",English,4557214,USA,17 Feb 1989,98 min,6.1,1 win.,tt0097880.jpg,"[5414, 6117, 10325, 15260]",[3981]
Staying Together,"Comedy, Drama","['Sean Astin', 'Stockard Channing', 'Melinda Dillon', 'Jim Haynie']",['Lee Grant'],Monte Merrick,English,4348025,USA,10 Nov 1989,91 min,6.2,1 win & 1 nomination.,tt0098383.jpg,"[4332, 7925, 4550, 3286]",[1076]
Listen to Me,"Drama, Romance","['Kirk Cameron', 'Jami Gertz', 'Roy Scheider', 'Amanda Peterson']",['Douglas Day Stewart'],Douglas Day Stewart,English,4299023,USA,05 May 1989,107 min,5.3,1 win & 2 nominations.,tt0097756.jpg,"[11186, 545, 10878, 1370]",[309]
Loverboy,Comedy,"['Patrick Dempsey', 'Kate Jackson', 'Robert Ginty', 'Nancy Valen']",['Joan Micklin Silver'],"Robin Schiff (story), Robin Schiff (screenplay), Tom Ropelewski (screenplay), Leslie Dixon (screenplay)",English,3960327,USA,28 Apr 1989,98 min,5.9,,tt0097790.jpg,"[1118, 5289, 8283, 6019]",[179]
A Dry White Season,"Drama, Thriller","['Donald Sutherland', 'Janet Suzman', 'Zakes Mokae', 'Jürgen Prochnow']",['Euzhan Palcy'],"André P. Brink (novel), Colin Welland (screenplay), Euzhan Palcy (screenplay)",English,3766879,USA,20 Sep 1989,97 min,7.0,Nominated for 1 Oscar. Another 1 win & 7 nominations.,tt0097243.jpg,"[15198, 11095, 1379, 14487]",[2296]
