Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster,Actors_id,Director_id
Flash Gordon,"Action, Adventure, Sci-Fi","['Sam J. Jones', 'Melody Anderson', 'Max von Sydow', 'Topol']",['Mike Hodges'],"Lorenzo Semple Jr. (screenplay), Michael Allin (adaptation), Alex Raymond (based on the characters created by)",English,0,"UK, USA",05 Dec 1980,111 min,6.4,Nominated for 2 BAFTA Film Awards. Another 2 wins & 9 nominations.,tt0080745.jpg,"[8626, 2679, 6004, 1303]",[1800]
The Elephant Man,"Biography, Drama","['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']",['David Lynch'],"Christopher De Vore (screenplay), Eric Bergren (screenplay), David Lynch (screenplay), Frederick Treves (book), Ashley Montagu (in part on the book \",English,0,"USA, UK",10 Oct 1980,124 min,8.2,Nominated for 8 Oscars. Another 10 wins & 14 nominations.,tt0080678.jpg,"[1935, 5782, 15093, 11096]",[2708]
Bronco Billy,"Action, Adventure, Comedy","['Clint Eastwood', 'Sondra Locke', 'Geoffrey Lewis', 'Scatman Crothers']",['Clint Eastwood'],Dennis Hackin,English,0,USA,11 Jun 1980,116 min,6.0,1 nomination.,tt0080472.jpg,"[5640, 11270, 1872, 9706]",[2226]
Raging Bull,"Biography, Drama, Sport","['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']",['Martin Scorsese'],"Jake LaMotta (based on the book by), Joseph Carter (with), Peter Savage (with), Paul Schrader (screenplay), Mardik Martin (screenplay)",English,45250,USA,19 Dec 1980,129 min,8.3,Won 2 Oscars. Another 23 wins & 24 nominations.,tt0081398.jpg,"[9311, 2980, 4425, 5646]",[1029]
American Gigolo,"Crime, Drama, Mystery","['Richard Gere', 'Lauren Hutton', 'Hector Elizondo', 'Nina van Pallandt']",['Paul Schrader'],Paul Schrader,"English, Swedish, French, German",0,USA,01 Feb 1980,117 min,6.2,,tt0080365.jpg,"[7556, 6782, 9773, 9265]",[3]
My Bodyguard,"Comedy, Drama, Family","['Chris Makepeace', 'Adam Baldwin', 'Matt Dillon', 'Paul Quandt']",['Tony Bill'],Alan Ormsby,English,0,USA,26 Sep 1980,102 min,7.1,1 win & 2 nominations.,tt0081207.jpg,"[6267, 11254, 12873, 12776]",[3850]
The Fog,"Fantasy, Horror","['Adrienne Barbeau', 'Jamie Lee Curtis', 'Janet Leigh', 'John Houseman']",['John Carpenter'],"John Carpenter, Debra Hill",English,21378000,USA,08 Feb 1980,89 min,6.8,1 win & 2 nominations.,tt0080749.jpg,"[2763, 13051, 14387, 3482]",[2594]
Altered States,"Horror, Sci-Fi, Thriller","['William Hurt', 'Blair Brown', 'Bob Balaban', 'Charles Haid']",['Ken Russell'],"Paddy Chayefsky (written for the screen by), Paddy Chayefsky (novel)","English, Spanish",25000000,USA,25 Dec 1980,102 min,6.9,Nominated for 2 Oscars. Another 1 win & 5 nominations.,tt0080360.jpg,"[6437, 12138, 1493, 2880]",[4264]
Cruising,"Crime, Mystery, Thriller","['Al Pacino', 'Paul Sorvino', 'Karen Allen', 'Richard Cox']",['William Friedkin'],"William Friedkin, Gerald Walker (novel)",English,0,"USA, West Germany",15 Feb 1980,102 min,6.4,5 nominations.,tt0080569.jpg,"[1209, 3340, 4621, 76]",[3565]
The Octagon,"Action, Drama, Romance","['Chuck Norris', 'Karen Carlson', 'Lee Van Cleef', 'Art Hindle']",['Eric Karson'],"Paul Aaron (story), Leigh Chapman (screenplay), Leigh Chapman (story)",English,18971000,USA,15 Aug 1980,103 min,5.0,,tt0081259.jpg,"[8282, 2567, 9528, 15434]",[3533]
